Province/State,Country/Region,Last Update,Confirmed,Suspected,Recovered,Death
Hubei,Mainland China,2/5/20 16:43,16678,,538,479
Guangdong,Mainland China,2/5/20 13:23,895,,49,0
Zhejiang,Mainland China,2/5/20 15:13,895,,78,0
Henan,Mainland China,2/5/20 15:03,764,,47,2
Hunan,Mainland China,2/5/20 15:23,661,,54,0
Jiangxi,Mainland China,2/5/20 1:33,548,,27,0
Anhui,Mainland China,2/5/20 13:43,530,,23,0
Chongqing,Mainland China,2/5/20 9:13,376,,15,2
Jiangsu,Mainland China,2/5/20 12:43,341,,23,0
Shandong,Mainland China,2/5/20 10:13,307,,15,0
Sichuan,Mainland China,2/5/20 10:13,301,,24,1
Beijing,Mainland China,2/5/20 5:43,253,,24,1
Shanghai,Mainland China,2/5/20 6:23,243,,15,1
Fujian,Mainland China,2/5/20 12:33,205,,11,0
Heilongjiang,Mainland China,2/5/20 12:13,190,,7,2
Shaanxi,Mainland China,2/5/20 8:43,165,,6,0
Guangxi,Mainland China,2/5/20 12:03,150,,13,0
Hebei,Mainland China,2/5/20 11:23,135,,6,1
Yunnan,Mainland China,2/5/20 7:43,124,,5,0
Hainan,Mainland China,2/5/20 16:43,99,,5,1
Liaoning,Mainland China,2/5/20 15:23,89,,4,0
Shanxi,Mainland China,2/5/20 15:23,81,,5,0
Tianjin,Mainland China,2/5/20 3:43,69,,2,1
Guizhou,Mainland China,2/5/20 12:33,64,,9,1
Gansu,Mainland China,2/5/20 16:23,62,,6,0
Jilin,Mainland China,2/5/20 11:03,54,,2,0
Inner Mongolia,Mainland China,2/5/20 8:53,42,,3,0
Ningxia,Mainland China,2/4/20 2:13,34,,1,0
Xinjiang,Mainland China,2/5/20 2:03,32,,0,0
,Singapore,2/5/20 16:33,28,,0,0
,Thailand,2/4/20 15:33,25,,5,0
,Japan,2/4/20 16:43,22,,1,0
Hong Kong,Hong Kong,2/5/20 13:13,21,,0,1
,South Korea,2/5/20 15:33,19,,0,0
Qinghai,Mainland China,2/5/20 3:13,17,,3,0
,Germany,2/3/20 20:53,12,,0,0
,Malaysia,2/5/20 15:43,12,,0,0
Taiwan,Taiwan,2/4/20 14:53,11,,0,0
Macau,Macau,2/4/20 4:43,10,,0,0
,Vietnam,2/3/20 21:43,8,,1,0
,France,2/1/20 1:52,6,,0,0
,United Arab Emirates,2/2/20 5:43,5,,0,0
New South Wales,Australia,2/1/20 18:12,4,,2,0
Victoria,Australia,2/1/20 18:12,4,,0,0
Queensland,Australia,2/4/20 16:53,3,,0,0
,India,2/3/20 21:43,3,,0,0
South Australia,Australia,2/2/20 22:33,2,,0,0
"Toronto, ON",Canada,2/4/20 0:13,2,,0,0
,Italy,1/31/20 8:15,2,,0,0
,Philippines,2/2/20 3:33,2,,0,1
,Russia,1/31/20 16:13,2,,0,0
,UK,2/1/20 1:52,2,,0,0
"Chicago, IL",United States,2/1/20 19:43,2,,0,0
"San Benito, CA",United States,2/3/20 3:53,2,,0,0
"Santa Clara, CA",United States,2/3/20 0:43,2,,0,0
,Belgium,2/4/20 15:43,1,,0,0
,Cambodia,1/31/20 8:15,1,,0,0
British Columbia,Canada,2/1/20 18:12,1,,0,0
"London, ON",Canada,2/4/20 0:03,1,,0,0
,Finland,1/31/20 8:15,1,,0,0
Tibet,Mainland China,2/1/20 1:52,1,,0,0
,Nepal,1/31/20 8:15,1,,0,0
,Spain,2/1/20 23:43,1,,0,0
,Sri Lanka,1/31/20 8:15,1,,0,0
,Sweden,2/1/20 2:13,1,,0,0
"Boston, MA",United States,2/1/20 19:43,1,,0,0
"Los Angeles, CA",United States,2/1/20 19:53,1,,0,0
"Orange, CA",United States,2/1/20 19:53,1,,0,0
"Seattle, WA",United States,2/1/20 19:43,1,,0,0
"Tempe, AZ",United States,2/1/20 19:43,1,,0,0
Hubei,Mainland China,2/4/20 23:43,16678,,522,479
Zhejiang,Mainland China,2/5/20 1:33,895,,63,0
Guangdong,Mainland China,2/5/20 2:03,870,,32,0
Henan,Mainland China,2/5/20 1:13,764,,41,2
Hunan,Mainland China,2/5/20 1:43,661,,35,0
Jiangxi,Mainland China,2/5/20 1:33,548,,27,0
Anhui,Mainland China,2/5/20 1:13,530,,20,0
Chongqing,Mainland China,2/5/20 0:13,366,,14,2
Jiangsu,Mainland China,2/5/20 2:43,341,,13,0
Sichuan,Mainland China,2/5/20 0:53,301,,23,1
Shandong,Mainland China,2/5/20 1:03,298,,13,0
Shanghai,Mainland China,2/5/20 0:23,233,,12,1
Beijing,Mainland China,2/4/20 8:33,228,,23,1
Fujian,Mainland China,2/4/20 12:13,194,,3,0
Heilongjiang,Mainland China,2/5/20 1:23,190,,4,2
Shaanxi,Mainland China,2/5/20 2:43,165,,2,0
Guangxi,Mainland China,2/5/20 0:43,150,,10,0
Hebei,Mainland China,2/5/20 2:53,135,,4,1
Yunnan,Mainland China,2/4/20 23:23,122,,5,0
Hainan,Mainland China,2/5/20 2:53,91,,4,1
Liaoning,Mainland China,2/4/20 14:13,81,,2,0
Shanxi,Mainland China,2/4/20 23:23,81,,4,0
Tianjin,Mainland China,2/4/20 13:33,67,,2,0
Guizhou,Mainland China,2/5/20 1:23,64,,5,0
Gansu,Mainland China,2/4/20 15:43,57,,4,0
Jilin,Mainland China,2/5/20 0:43,54,,1,0
Inner Mongolia,Mainland China,2/5/20 1:53,42,,1,0
Ningxia,Mainland China,2/4/20 2:13,34,,1,0
Xinjiang,Mainland China,2/5/20 2:03,32,,0,0
,Thailand,2/4/20 15:33,25,,5,0
,Singapore,2/4/20 15:33,24,,0,0
,Japan,2/4/20 16:43,22,,1,0
Hong Kong,Hong Kong,2/5/20 2:33,18,,0,1
Qinghai,Mainland China,2/5/20 1:23,17,,0,0
,South Korea,2/4/20 15:33,16,,0,0
,Germany,2/3/20 20:53,12,,0,0
Taiwan,Taiwan,2/4/20 14:53,11,,0,0
Macau,Macau,2/4/20 4:43,10,,0,0
,Malaysia,2/4/20 7:33,10,,0,0
,Vietnam,2/3/20 21:43,8,,1,0
,France,2/1/20 1:52,6,,0,0
,United Arab Emirates,2/2/20 5:43,5,,0,0
New South Wales,Australia,2/1/20 18:12,4,,2,0
Victoria,Australia,2/1/20 18:12,4,,0,0
Queensland,Australia,2/4/20 16:53,3,,0,0
,India,2/3/20 21:43,3,,0,0
South Australia,Australia,2/2/20 22:33,2,,0,0
"Toronto, ON",Canada,2/4/20 0:13,2,,0,0
,Italy,1/31/20 8:15,2,,0,0
,Philippines,2/2/20 3:33,2,,0,1
,Russia,1/31/20 16:13,2,,0,0
,UK,2/1/20 1:52,2,,0,0
"Chicago, IL",United States,2/1/20 19:43,2,,0,0
"San Benito, CA",United States,2/3/20 3:53,2,,0,0
"Santa Clara, CA",United States,2/3/20 0:43,2,,0,0
,Belgium,2/4/20 15:43,1,,0,0
,Cambodia,1/31/20 8:15,1,,0,0
British Columbia,Canada,2/1/20 18:12,1,,0,0
"London, ON",Canada,2/4/20 0:03,1,,0,0
,Finland,1/31/20 8:15,1,,0,0
Tibet,Mainland China,2/1/20 1:52,1,,0,0
,Nepal,1/31/20 8:15,1,,0,0
,Spain,2/1/20 23:43,1,,0,0
,Sri Lanka,1/31/20 8:15,1,,0,0
,Sweden,2/1/20 2:13,1,,0,0
"Boston, MA",United States,2/1/20 19:43,1,,0,0
"Los Angeles, CA",United States,2/1/20 19:53,1,,0,0
"Orange, CA",United States,2/1/20 19:53,1,,0,0
"Seattle, WA",United States,2/1/20 19:43,1,,0,0
"Tempe, AZ",United States,2/1/20 19:43,1,,0,0
Hubei,Mainland China,2/4/20 9:43,13522,,397,414
Zhejiang,Mainland China,2/4/20 13:03,829,,62,0
Guangdong,Mainland China,2/4/20 13:03,813,,30,0
Henan,Mainland China,2/4/20 11:53,675,,27,2
Hunan,Mainland China,2/4/20 14:03,593,,31,0
Anhui,Mainland China,2/4/20 5:33,480,,20,0
Jiangxi,Mainland China,2/4/20 14:43,476,,20,0
Chongqing,Mainland China,2/4/20 8:23,344,,9,2
Jiangsu,Mainland China,2/4/20 11:53,308,,12,0
Sichuan,Mainland China,2/4/20 1:43,282,,14,1
Shandong,Mainland China,2/4/20 12:03,275,,11,0
Beijing,Mainland China,2/4/20 8:33,228,,23,1
Shanghai,Mainland China,2/4/20 6:33,219,,12,1
Fujian,Mainland China,2/4/20 12:13,194,,3,0
Heilongjiang,Mainland China,2/4/20 7:43,155,,4,2
Shaanxi,Mainland China,2/4/20 12:33,142,,2,0
Guangxi,Mainland China,2/4/20 5:53,139,,10,0
Hebei,Mainland China,2/4/20 8:53,126,,4,1
Yunnan,Mainland China,2/4/20 7:03,119,,5,0
Liaoning,Mainland China,2/4/20 14:13,81,,2,0
Hainan,Mainland China,2/4/20 11:33,80,,5,1
Shanxi,Mainland China,2/4/20 12:33,74,,4,0
Tianjin,Mainland China,2/4/20 13:33,67,,2,0
Guizhou,Mainland China,2/4/20 10:43,58,,2,0
Gansu,Mainland China,2/4/20 15:43,57,,4,0
Jilin,Mainland China,2/4/20 0:23,42,,1,0
Inner Mongolia,Mainland China,2/4/20 3:03,35,,1,0
Ningxia,Mainland China,2/4/20 2:13,34,,1,0
Xinjiang,Mainland China,2/4/20 1:33,29,,0,0
,Thailand,2/4/20 15:33,25,,5,0
,Singapore,2/4/20 15:33,24,,0,0
,Japan,2/4/20 16:43,22,,1,0
Hong Kong,Hong Kong,2/4/20 9:03,17,,0,1
,South Korea,2/4/20 15:33,16,,0,0
Qinghai,Mainland China,2/4/20 1:33,15,,0,0
,Germany,2/3/20 20:53,12,,0,0
Taiwan,Taiwan,2/4/20 14:53,11,,0,0
Macau,Macau,2/4/20 4:43,10,,0,0
,Malaysia,2/4/20 7:33,10,,0,0
,Vietnam,2/3/20 21:43,8,,1,0
,France,2/1/20 1:52,6,,0,0
,United Arab Emirates,2/2/20 5:43,5,,0,0
New South Wales,Australia,2/1/20 18:12,4,,2,0
Victoria,Australia,2/1/20 18:12,4,,0,0
Queensland,Australia,2/4/20 16:53,3,,0,0
,India,2/3/20 21:43,3,,0,0
South Australia,Australia,2/2/20 22:33,2,,0,0
"Toronto, ON",Canada,2/4/20 0:13,2,,0,0
,Italy,1/31/20 8:15,2,,0,0
,Philippines,2/2/20 3:33,2,,0,1
,Russia,1/31/20 16:13,2,,0,0
,UK,2/1/20 1:52,2,,0,0
"Chicago, IL",United States,2/1/20 19:43,2,,0,0
"San Benito, CA",United States,2/3/20 3:53,2,,0,0
"Santa Clara, CA",United States,2/3/20 0:43,2,,0,0
,Belgium,2/4/20 15:43,1,,0,0
,Cambodia,1/31/20 8:15,1,,0,0
British Columbia,Canada,2/1/20 18:12,1,,0,0
"London, ON",Canada,2/4/20 0:03,1,,0,0
,Finland,1/31/20 8:15,1,,0,0
Tibet,Mainland China,2/1/20 1:52,1,,0,0
,Nepal,1/31/20 8:15,1,,0,0
,Spain,2/1/20 23:43,1,,0,0
,Sri Lanka,1/31/20 8:15,1,,0,0
,Sweden,2/1/20 2:13,1,,0,0
"Boston, MA",United States,2/1/20 19:43,1,,0,0
"Los Angeles, CA",United States,2/1/20 19:53,1,,0,0
"Orange, CA",United States,2/1/20 19:53,1,,0,0
"Seattle, WA",United States,2/1/20 19:43,1,,0,0
"Tempe, AZ",United States,2/1/20 19:43,1,,0,0
Hubei,Mainland China,2/4/20 9:43,13522,,397,414
Zhejiang,Mainland China,2/4/20 13:03,829,,62,0
Guangdong,Mainland China,2/4/20 13:03,813,,30,0
Henan,Mainland China,2/4/20 11:53,675,,27,2
Hunan,Mainland China,2/4/20 11:43,593,,30,0
Anhui,Mainland China,2/4/20 5:33,480,,20,0
Jiangxi,Mainland China,2/4/20 1:43,476,,19,0
Chongqing,Mainland China,2/4/20 8:23,344,,9,2
Jiangsu,Mainland China,2/4/20 11:53,308,,12,0
Sichuan,Mainland China,2/4/20 1:43,282,,14,1
Shandong,Mainland China,2/4/20 12:03,275,,11,0
Beijing,Mainland China,2/4/20 8:33,228,,23,1
Shanghai,Mainland China,2/4/20 6:33,219,,12,1
Fujian,Mainland China,2/4/20 12:13,194,,3,0
Heilongjiang,Mainland China,2/4/20 7:43,155,,4,2
Shaanxi,Mainland China,2/4/20 12:33,142,,2,0
Guangxi,Mainland China,2/4/20 5:53,139,,10,0
Hebei,Mainland China,2/4/20 8:53,126,,4,1
Yunnan,Mainland China,2/4/20 7:03,119,,5,0
Hainan,Mainland China,2/4/20 11:33,80,,5,1
Liaoning,Mainland China,2/4/20 8:53,77,,2,0
Shanxi,Mainland China,2/4/20 12:33,74,,4,0
Tianjin,Mainland China,2/4/20 13:03,67,,1,0
Guizhou,Mainland China,2/4/20 10:43,58,,2,0
Gansu,Mainland China,2/3/20 23:03,55,,3,0
Jilin,Mainland China,2/4/20 0:23,42,,1,0
Inner Mongolia,Mainland China,2/4/20 3:03,35,,1,0
Ningxia,Mainland China,2/4/20 2:13,34,,1,0
Xinjiang,Mainland China,2/4/20 1:33,29,,0,0
,Japan,2/1/20 18:53,20,,1,0
,Thailand,1/31/20 10:37,19,,5,0
,Singapore,2/2/20 1:03,18,,0,0
Hong Kong,Hong Kong,2/4/20 9:03,17,,0,1
Qinghai,Mainland China,2/4/20 1:33,15,,0,0
,South Korea,2/2/20 2:23,15,,0,0
,Germany,2/3/20 20:53,12,,0,0
Macau,Macau,2/4/20 4:43,10,,0,0
,Malaysia,2/4/20 7:33,10,,0,0
Taiwan,Taiwan,1/31/20 15:20,10,,0,0
,Vietnam,2/3/20 21:43,8,,1,0
,France,2/1/20 1:52,6,,0,0
,United Arab Emirates,2/2/20 5:43,5,,0,0
New South Wales,Australia,2/1/20 18:12,4,,2,0
Victoria,Australia,2/1/20 18:12,4,,0,0
,India,2/3/20 21:43,3,,0,0
Queensland,Australia,2/2/20 22:33,2,,0,0
South Australia,Australia,2/2/20 22:33,2,,0,0
"Toronto, ON",Canada,2/4/20 0:13,2,,0,0
,Italy,1/31/20 8:15,2,,0,0
,Philippines,2/2/20 3:33,2,,0,1
,Russia,1/31/20 16:13,2,,0,0
,UK,2/1/20 1:52,2,,0,0
"Chicago, IL",United States,2/1/20 19:43,2,,0,0
"San Benito, CA",United States,2/3/20 3:53,2,,0,0
"Santa Clara, CA",United States,2/3/20 0:43,2,,0,0
,Cambodia,1/31/20 8:15,1,,0,0
British Columbia,Canada,2/1/20 18:12,1,,0,0
"London, ON",Canada,2/4/20 0:03,1,,0,0
,Finland,1/31/20 8:15,1,,0,0
Tibet,Mainland China,2/1/20 1:52,1,,0,0
,Nepal,1/31/20 8:15,1,,0,0
,Spain,2/1/20 23:43,1,,0,0
,Sri Lanka,1/31/20 8:15,1,,0,0
,Sweden,2/1/20 2:13,1,,0,0
"Boston, MA",United States,2/1/20 19:43,1,,0,0
"Los Angeles, CA",United States,2/1/20 19:53,1,,0,0
"Orange, CA",United States,2/1/20 19:53,1,,0,0
"Seattle, WA",United States,2/1/20 19:43,1,,0,0
"Tempe, AZ",United States,2/1/20 19:43,1,,0,0
Hubei,Mainland China,2/4/20 1:23,13522,,396,414
Zhejiang,Mainland China,2/4/20 1:43,829,,48,0
Guangdong,Mainland China,2/4/20 1:43,797,,21,0
Henan,Mainland China,2/4/20 1:23,675,,20,2
Hunan,Mainland China,2/4/20 1:43,593,,22,0
Anhui,Mainland China,2/4/20 0:43,480,,14,0
Jiangxi,Mainland China,2/4/20 1:43,476,,19,0
Chongqing,Mainland China,2/3/20 23:43,337,,9,2
Jiangsu,Mainland China,2/4/20 1:03,308,,8,0
Sichuan,Mainland China,2/4/20 1:43,282,,14,1
Shandong,Mainland China,2/4/20 0:53,270,,7,0
Beijing,Mainland China,2/3/20 9:23,212,,12,1
Shanghai,Mainland China,2/4/20 0:13,208,,10,1
Fujian,Mainland China,2/3/20 11:33,179,,1,0
Heilongjiang,Mainland China,2/4/20 0:53,155,,2,2
Shaanxi,Mainland China,2/4/20 2:33,142,,1,0
Guangxi,Mainland China,2/4/20 0:33,139,,7,0
Hebei,Mainland China,2/4/20 0:23,126,,3,1
Yunnan,Mainland China,2/3/20 23:23,117,,5,0
Hainan,Mainland China,2/4/20 0:43,79,,4,1
Liaoning,Mainland China,2/3/20 17:11,74,,1,0
Shanxi,Mainland China,2/3/20 23:13,74,,2,0
Tianjin,Mainland China,2/3/20 13:53,60,,1,0
Guizhou,Mainland China,2/4/20 1:03,56,,2,0
Gansu,Mainland China,2/3/20 23:03,55,,3,0
Jilin,Mainland China,2/4/20 0:23,42,,1,0
Inner Mongolia,Mainland China,2/3/20 3:03,34,,1,0
Ningxia,Mainland China,2/4/20 2:13,34,,1,0
Xinjiang,Mainland China,2/4/20 1:33,29,,0,0
,Japan,2/1/20 18:53,20,,1,0
,Thailand,1/31/20 10:37,19,,5,0
,Singapore,2/2/20 1:03,18,,0,0
Hong Kong,Hong Kong,2/2/20 23:53,15,,0,0
Qinghai,Mainland China,2/4/20 1:33,15,,0,0
,South Korea,2/2/20 2:23,15,,0,0
,Germany,2/3/20 20:53,12,,0,0
Taiwan,Taiwan,1/31/20 15:20,10,,0,0
Macau,Macau,2/2/20 4:23,8,,0,0
,Malaysia,1/31/20 8:15,8,,0,0
,Vietnam,2/3/20 21:43,8,,1,0
,France,2/1/20 1:52,6,,0,0
,United Arab Emirates,2/2/20 5:43,5,,0,0
New South Wales,Australia,2/1/20 18:12,4,,2,0
Victoria,Australia,2/1/20 18:12,4,,0,0
,India,2/3/20 21:43,3,,0,0
Queensland,Australia,2/2/20 22:33,2,,0,0
South Australia,Australia,2/2/20 22:33,2,,0,0
"Toronto, ON",Canada,2/4/20 0:13,2,,0,0
,Italy,1/31/20 8:15,2,,0,0
,Philippines,2/2/20 3:33,2,,0,1
,Russia,1/31/20 16:13,2,,0,0
,UK,2/1/20 1:52,2,,0,0
"Chicago, IL",United States,2/1/20 19:43,2,,0,0
"San Benito, CA",United States,2/3/20 3:53,2,,0,0
"Santa Clara, CA",United States,2/3/20 0:43,2,,0,0
,Cambodia,1/31/20 8:15,1,,0,0
British Columbia,Canada,2/1/20 18:12,1,,0,0
"London, ON",Canada,2/4/20 0:03,1,,0,0
,Finland,1/31/20 8:15,1,,0,0
Tibet,Mainland China,2/1/20 1:52,1,,0,0
,Nepal,1/31/20 8:15,1,,0,0
,Spain,2/1/20 23:43,1,,0,0
,Sri Lanka,1/31/20 8:15,1,,0,0
,Sweden,2/1/20 2:13,1,,0,0
"Boston, MA",United States,2/1/20 19:43,1,,0,0
"Los Angeles, CA",United States,2/1/20 19:53,1,,0,0
"Orange, CA",United States,2/1/20 19:53,1,,0,0
"Seattle, WA",United States,2/1/20 19:43,1,,0,0
"Tempe, AZ",United States,2/1/20 19:43,1,,0,0
Hubei,Mainland China,2/3/2020 13:33,11177,,300,350
Guangdong,Mainland China,2/3/2020 12:53,725,,21,0
Zhejiang,Mainland China,2/3/2020 13:33,724,,43,0
Henan,Mainland China,2/3/2020 17:11,566,,16,2
Hunan,Mainland China,2/3/2020 11:03,521,,22,0
Anhui,Mainland China,2/3/2020 17:11,408,,14,0
Jiangxi,Mainland China,2/3/2020 1:33,391,,18,0
Chongqing,Mainland China,2/3/2020 8:33,312,,8,2
Jiangsu,Mainland China,2/3/2020 11:03,271,,8,0
Shandong,Mainland China,2/3/2020 17:11,259,,7,0
Sichuan,Mainland China,2/3/2020 11:23,254,,14,1
Beijing,Mainland China,2/3/2020 9:23,212,,12,1
Shanghai,Mainland China,2/3/2020 7:03,203,,10,1
Fujian,Mainland China,2/3/2020 11:33,179,,1,0
Shaanxi,Mainland China,2/3/2020 2:33,128,,0,0
Guangxi,Mainland China,2/3/2020 12:33,127,,7,0
Heilongjiang,Mainland China,2/3/2020 7:13,121,,2,2
Yunnan,Mainland China,2/3/2020 12:53,114,,5,0
Hebei,Mainland China,2/3/2020 0:23,113,,3,1
Liaoning,Mainland China,2/3/2020 17:11,74,,1,0
Hainan,Mainland China,2/3/2020 17:11,72,,4,1
Shanxi,Mainland China,2/3/2020 3:23,66,,2,0
Tianjin,Mainland China,2/3/2020 13:53,60,,1,0
Gansu,Mainland China,2/2/2020 23:43,51,,3,0
Guizhou,Mainland China,2/3/2020 1:03,46,,2,0
Inner Mongolia,Mainland China,2/3/2020 3:03,34,,1,0
Jilin,Mainland China,2/3/2020 0:53,31,,1,0
Ningxia,Mainland China,2/3/2020 8:33,31,,1,0
Xinjiang,Mainland China,2/3/2020 1:13,24,,0,0
,Japan,2/1/2020 18:53,20,,1,0
,Thailand,1/31/2020 10:37,19,,5,0
,Singapore,2/2/2020 1:03,18,,0,0
Hong Kong,Hong Kong,2/2/2020 23:53,15,,0,0
,South Korea,2/2/2020 2:23,15,,0,0
Qinghai,Mainland China,2/3/2020 2:43,13,,0,0
,Germany,2/2/2020 18:03,10,,0,0
Taiwan,Taiwan,1/31/2020 15:20,10,,0,0
Macau,Macau,2/2/2020 4:23,8,,0,0
,Malaysia,1/31/2020 8:15,8,,0,0
,France,2/1/2020 1:52,6,,0,0
,Vietnam,2/1/2020 7:38,6,,1,0
,United Arab Emirates,2/2/2020 5:43,5,,0,0
New South Wales,Australia,2/1/2020 18:12,4,,2,0
Victoria,Australia,2/1/2020 18:12,4,,0,0
Ontario,Canada,2/1/2020 18:12,3,,0,0
Queensland,Australia,2/2/2020 22:33,2,,0,0
South Australia,Australia,2/2/2020 22:33,2,,0,0
,India,2/2/2020 6:03,2,,0,0
,Italy,1/31/2020 8:15,2,,0,0
,Philippines,2/2/2020 3:33,2,,0,1
,Russia,1/31/2020 16:13,2,,0,0
,UK,2/1/2020 1:52,2,,0,0
"Chicago, IL",United States,2/1/2020 19:43,2,,0,0
"San Benito, CA",United States,2/3/2020 3:53,2,,0,0
